Subgroup,Outcome,n,OR,CI_lo,CI_hi,P-value,Significant
Age < 80,30-day mortality,16550,0.8722544398286615,0.7533115965862873,1.0099775594170926,0.06766483149653447,False
Age < 80,Discharge to aged care,16550,1.0617419307862683,0.8986065685623692,1.2544933088940704,0.4815025860405968,False
Age 80+,30-day mortality,29228,0.9942487648511752,0.9028110260236336,1.0949474230083338,0.9067181686243295,False
Age 80+,Discharge to aged care,29228,0.9996402287362547,0.9218134925328659,1.0840377093658602,0.9930574226565659,False
Community-dwelling,30-day mortality,34187,0.9642762333666602,0.8763908656129819,1.0609748352242756,0.4556257436860611,False
Community-dwelling,Discharge to aged care,34187,1.115597685791577,0.9825015397079189,1.2667239146653229,0.09148478152079809,False
Aged care resident,30-day mortality,11275,0.9250442496728262,0.7958425017639356,1.075221368494571,0.3100703970200034,False
Aged care resident,Discharge to aged care,11275,0.9512906608502723,0.8717305482300441,1.0381119753785846,0.2624599678134607,False
Cognitively intact,30-day mortality,28461,0.9840610182793068,0.8830218821506611,1.096661484014823,0.771297441983376,False
Cognitively intact,Discharge to aged care,28461,1.1086824371184092,0.9611566696739997,1.278851601572636,0.1567280603435133,False
Cognitively impaired,30-day mortality,16486,0.9223554807727544,0.8161229531886695,1.0424160104646227,0.195462071492852,False
Cognitively impaired,Discharge to aged care,16486,0.9558745216922022,0.878006876373202,1.040648001521943,0.2979061425279169,False
